id,model,connectance_mod,complexity_mod,distance_mod,basal_mod,top_mod,S1_mod,S2_mod,S4_mod,S5_mod
1235,hierarchy,0.06501095690284879,0.9596137180508324,3.0,6.0,0.0,136.0,10.0,54.0,79.0
1235,maxent,0.0679327976625274,0.9213423620499392,3.0,24.0,1.0,26.0,12.0,10.0,97.0
12,random,0.014404432132963989,0.9794404618576097,2.0,19.0,17.0,143.0,2.0,68.0,77.0
12,niche,0.018823529411764704,0.956135824882622,2.0,33.0,22.0,148.0,2.0,130.0,205.0
12,cascade,0.014736842105263158,0.971788652897613,5.0,23.0,27.0,125.0,3.0,101.0,91.0
12,hierarchy,0.01550862156922763,0.9740508088698622,1.0,15.0,22.0,169.0,3.0,99.0,75.0
12,maxent,0.014704440741103813,0.9288378612228743,2.0,26.0,75.0,0.0,0.0,1523.0,154.0
13,random,0.030615877536489856,0.9658467413726997,1.0,8.0,8.0,105.0,6.0,52.0,46.0
13,niche,0.0335538752362949,0.9516853781164216,2.0,16.0,14.0,36.0,11.0,49.0,104.0
13,cascade,0.03275186899252403,0.952259129564355,4.0,15.0,14.0,115.0,5.0,107.0,88.0
13,hierarchy,0.03155006858710562,0.9643961703694204,2.0,9.0,8.0,121.0,0.0,80.0,58.0
13,maxent,0.03155006858710562,0.9356024309128597,2.0,15.0,39.0,0.0,0.0,401.0,153.0
18,random,0.04914933837429111,0.9776478438198318,3.0,9.0,3.0,28.0,1.0,5.0,17.0
18,niche,0.06076388888888889,0.9209261346899495,3.0,13.0,5.0,5.0,0.0,31.0,37.0
18,cascade,0.04637336504161712,0.954986387162344,4.0,11.0,7.0,23.0,1.0,24.0,33.0
18,hierarchy,0.04280618311533888,0.9678017386517787,1.0,4.0,8.0,33.0,0.0,16.0,10.0
18,maxent,0.04518430439952437,0.9201453978841541,2.0,11.0,18.0,0.0,0.0,79.0,47.0
3259,random,0.135,0.92548068508023,2.0,1.0,1.0,20.0,7.0,6.0,10.0
3259,niche,0.0975,0.9151110119750868,2.0,9.0,4.0,14.0,3.0,28.0,37.0
3259,cascade,0.125,0.9005044708238762,3.0,4.0,5.0,47.0,23.0,65.0,57.0
3259,hierarchy,0.1525,0.9256439860937232,1.0,1.0,0.0,107.0,35.0,38.0,50.0
3259,maxent,0.15,0.9107040439457192,2.0,3.0,6.0,21.0,25.0,81.0,65.0
908,random,0.036848072562358274,0.9695190443685964,2.0,6.0,4.0,81.0,2.0,31.0,33.0
908,niche,0.06519742883379247,0.9103256478944932,2.0,13.0,7.0,36.0,8.0,44.0,115.0
908,cascade,0.038939967550027044,0.9580073987946068,4.0,12.0,8.0,79.0,5.0,51.0,63.0
908,hierarchy,0.03407247160627366,0.9738332417928453,1.0,6.0,7.0,70.0,2.0,36.0,26.0
908,maxent,0.03407247160627366,0.9306276475879446,2.0,17.0,26.0,0.0,0.0,188.0,101.0
23,random,0.06481481481481481,0.9782351201487129,3.0,6.0,1.0,9.0,1.0,1.0,5.0
23,niche,0.08996539792387544,0.920458525257836,2.0,8.0,3.0,26.0,2.0,14.0,36.0
23,cascade,0.07142857142857142,0.9765101446520891,2.0,4.0,6.0,6.0,1.0,6.0,4.0
23,hierarchy,0.05263157894736842,0.9748655435954375,2.0,7.0,4.0,9.0,0.0,4.0,7.0
23,maxent,0.055401662049861494,0.9483902569560625,2.0,8.0,11.0,0.0,0.0,31.0,15.0
909,random,0.017748963758103944,0.9673215019702303,2.0,13.0,15.0,259.0,6.0,139.0,123.0
909,niche,0.018977655341291706,0.9598292417744572,3.0,37.0,4.0,150.0,11.0,141.0,266.0
909,cascade,0.01718034152436485,0.96409153059658,4.0,27.0,23.0,161.0,3.0,161.0,172.0
