id,model,connectance_mod,complexity_mod,distance_mod,basal_mod,top_mod,S1_mod,S2_mod,S4_mod,S5_mod
946,cascade,0.03428819444444445,0.9428260823362049,4.0,15.0,16.0,595.0,53.0,624.0,659.0
946,hierarchy,0.036675347222222224,0.9536767467121762,1.0,9.0,2.0,787.0,58.0,341.0,412.0
946,maxent,0.03721788194444445,0.9430600850826031,2.0,65.0,31.0,0.0,0.0,1554.0,2226.0
26,random,0.05895691609977324,0.9533127656603267,3.0,6.0,5.0,18.0,1.0,7.0,12.0
26,niche,0.05895691609977324,0.9531824851339845,2.0,8.0,6.0,11.0,0.0,5.0,6.0
26,cascade,0.06994328922495274,0.9545524737588477,4.0,5.0,4.0,48.0,5.0,25.0,22.0
26,hierarchy,0.054820415879017016,0.972551997659202,2.0,9.0,3.0,31.0,0.0,9.0,20.0
26,maxent,0.059027777777777776,0.958558696371713,2.0,4.0,9.0,17.0,3.0,23.0,9.0
27,random,0.01550862156922763,0.9711510486745328,3.0,17.0,23.0,209.0,5.0,97.0,90.0
27,niche,0.015764425936942297,0.9632184057327966,2.0,34.0,22.0,48.0,6.0,53.0,119.0
27,cascade,0.014626038781163435,0.9683720182934407,5.0,33.0,27.0,110.0,2.0,102.0,151.0
27,hierarchy,0.01404467904609294,0.9760938837845907,1.0,19.0,21.0,175.0,2.0,101.0,80.0
27,maxent,0.013349946600213599,0.0,2.0,9.0,97.0,0.0,0.0,2807.0,95.0
28,random,0.11728395061728394,0.9301144058400466,1.0,1.0,2.0,37.0,3.0,15.0,13.0
28,niche,0.11072664359861592,0.9205124277184618,2.0,5.0,1.0,21.0,16.0,7.0,28.0
28,cascade,0.11419753086419752,0.9145919722790703,4.0,4.0,5.0,37.0,8.0,35.0,38.0
28,hierarchy,0.11728395061728394,0.9451230326950157,1.0,1.0,2.0,55.0,1.0,32.0,27.0
28,maxent,0.11728395061728394,0.927307930398444,2.0,4.0,5.0,25.0,4.0,40.0,32.0
947,random,0.19390581717451524,0.9148387460264233,1.0,0.0,0.0,47.0,17.0,25.0,19.0
947,niche,0.14127423822714683,0.9021221716200898,2.0,5.0,0.0,15.0,4.0,16.0,15.0
947,cascade,0.14958448753462603,0.909152624648115,3.0,3.0,4.0,53.0,38.0,47.0,77.0
947,hierarchy,0.15789473684210525,0.9386337949690433,1.0,2.0,0.0,45.0,1.0,26.0,25.0
947,maxent,0.16066481994459833,0.8981978772044386,2.0,2.0,3.0,39.0,36.0,79.0,89.0
1262,random,0.0848,0.9471198690131123,1.0,1.0,2.0,66.0,4.0,30.0,20.0
1262,niche,0.0920138888888889,0.8977737069145696,2.0,11.0,4.0,56.0,11.0,32.0,91.0
1262,cascade,0.10355029585798817,0.9207354919899804,4.0,5.0,4.0,105.0,23.0,97.0,90.0
1262,hierarchy,0.08579881656804733,0.9500638458913517,1.0,4.0,0.0,81.0,6.0,32.0,46.0
1262,maxent,0.08875739644970414,0.9063333002512655,2.0,14.0,7.0,2.0,14.0,113.0,209.0
1261,random,0.09027777777777778,0.9800115612536021,2.0,1.0,4.0,11.0,2.0,5.0,0.0
1261,niche,0.14201183431952663,0.8922762785519712,2.0,3.0,5.0,9.0,7.0,15.0,12.0
1261,cascade,0.10416666666666667,0.9285119616713676,3.0,5.0,3.0,8.0,3.0,7.0,9.0
1261,hierarchy,0.10650887573964497,0.9538585488443384,1.0,3.0,3.0,12.0,4.0,11.0,5.0
1261,maxent,0.10059171597633136,0.9509653351183578,3.0,7.0,3.0,5.0,2.0,14.0,20.0
1219,random,0.05586776859504132,0.9451093647908883,4.0,2.0,2.0,284.0,6.0,142.0,158.0
1219,niche,0.0704877180491278,0.8956946751973528,2.0,19.0,8.0,287.0,38.0,278.0,350.0
1219,cascade,0.062181122448979595,0.9319290517701923,5.0,5.0,8.0,383.0,59.0,434.0,384.0
1219,hierarchy,0.05644132653061224,0.9453035248750601,1.0,3.0,1.0,399.0,15.0,228.0,196.0
1219,maxent,0.05644132653061224,0.9160887818658953,3.0,32.0,0.0,24.0,19.0,43.0,271.0
1237,random,0.11061728395061729,0.9287284755676521,1.0,0.0,0.0,481.0,56.0,227.0,228.0
1237,niche,0.1368801652892562,0.871991444273621,2.0,7.0,5.0,305.0,200.0,281.0,595.0
1237,cascade,0.10024691358024691,0.9103764910412738,4.0,6.0,5.0,449.0,119.0,505.0,466.0
1237,hierarchy,0.10419753086419753,0.9420437036169378,1.0,1.0,0.0,576.0,152.0,230.0,302.0
1237,maxent,0.10469135802469136,0.9079533272137011,4.0,20.0,4.0,123.0,208.0,278.0,772.0
1218,random,0.05233179067283731,0.9512198415759168,4.0,4.0,1.0,250.0,15.0,118.0,127.0
1218,niche,0.051775147928994084,0.929108243007542,2.0,15.0,3.0,135.0,23.0,138.0,303.0
1218,cascade,0.04948380206479174,0.942028594364999,4.0,9.0,11.0,215.0,28.0,207.0,204.0
1218,hierarchy,0.05197579209683161,0.9494025573238873,1.0,6.0,0.0,234.0,10.0,119.0,136.0
1218,maxent,0.053399786400854396,0.9157525699795621,3.0,40.0,0.0,50.0,9.0,36.0,622.0
1235,random,0.061358655953250546,0.952253236299284,5.0,3.0,1.0,123.0,5.0,59.0,67.0
1235,niche,0.08984660336011688,0.9069062049252093,2.0,12.0,1.0,135.0,60.0,195.0,263.0
1235,cascade,0.06501095690284879,0.9361916586244022,4.0,9.0,7.0,119.0,22.0,112.0,137.0
1235,hierarchy,0.06939371804236669,0.9577068113773165,1.0,3.0,0.0,172.0,24.0,63.0,67.0
1235,maxent,0.0679327976625274,0.9195469191019064,3.0,24.0,1.0,36.0,23.0,37.0,301.0
12,random,0.015955678670360112,0.970581714703154,3.0,21.0,20.0,186.0,2.0,99.0,107.0
12,niche,0.020166204986149586,0.9434601699557298,2.0,43.0,12.0,156.0,13.0,161.0,519.0
12,cascade,0.015842013888888888,0.9712519168558912,3.0,22.0,29.0,133.0,5.0,150.0,112.0
12,hierarchy,0.014386287113559841,0.9733488874865133,1.0,13.0,29.0,145.0,2.0,132.0,57.0
12,maxent,0.014704440741103813,0.9225474816992326,2.0,26.0,75.0,0.0,0.0,1523.0,154.0
13,random,0.03421760861207228,0.9618103545591227,1.0,9.0,7.0,116.0,5.0,64.0,74.0
13,niche,0.029513888888888888,0.9613802122155766,2.0,18.0,11.0,43.0,5.0,41.0,88.0
13,cascade,0.032395870416518334,0.9522306191126771,6.0,12.0,16.0,124.0,10.0,94.0,79.0
13,hierarchy,0.030521262002743483,0.9656651717664461,3.0,8.0,11.0,119.0,3.0,77.0,54.0
13,maxent,0.03155006858710562,0.9363999507538902,2.0,15.0,39.0,0.0,0.0,401.0,153.0
18,random,0.05112960760998811,0.9714331170045291,1.0,4.0,4.0,53.0,1.0,18.0,17.0
18,niche,0.0512,0.960711025435636,2.0,10.0,1.0,12.0,0.0,4.0,32.0
18,cascade,0.0512,0.9549199654750659,4.0,7.0,9.0,27.0,0.0,23.0,17.0
18,hierarchy,0.04399524375743163,0.963665046107876,1.0,6.0,7.0,28.0,3.0,21.0,14.0
18,maxent,0.04518430439952437,0.9339505912493845,2.0,11.0,18.0,0.0,0.0,79.0,47.0
3259,random,0.1675,0.9295086794414987,1.0,0.0,0.0,114.0,27.0,52.0,45.0
3259,niche,0.1384083044982699,0.8777431440931518,3.0,7.0,3.0,6.0,4.0,8.0,17.0
3259,cascade,0.1725,0.9114587213816824,3.0,4.0,1.0,94.0,65.0,62.0,116.0
3259,hierarchy,0.1525,0.9340033762339948,1.0,3.0,0.0,100.0,25.0,38.0,53.0
3259,maxent,0.15,0.9151856618069949,2.0,3.0,6.0,23.0,28.0,91.0,59.0
908,random,0.032123735871505056,0.9786477408254914,5.0,8.0,6.0,51.0,1.0,15.0,20.0
908,niche,0.037396121883656507,0.9443852450620464,2.0,17.0,10.0,31.0,3.0,32.0,134.0
908,cascade,0.03299080584099513,0.9642426190836895,4.0,11.0,15.0,44.0,2.0,62.0,42.0
908,hierarchy,0.03458049886621315,0.9616710545646283,1.0,6.0,15.0,58.0,0.0,56.0,22.0
908,maxent,0.03407247160627366,0.9214379849668808,2.0,17.0,26.0,0.0,0.0,188.0,101.0
23,random,0.07111111111111111,0.9745130790544578,2.0,5.0,4.0,10.0,2.0,5.0,7.0
23,niche,0.1111111111111111,0.9464790507513358,2.0,5.0,2.0,3.0,0.0,0.0,4.0
23,cascade,0.06228373702422145,0.948593726848338,4.0,6.0,7.0,10.0,0.0,10.0,9.0
23,hierarchy,0.060941828254847646,0.9771289506941517,1.0,2.0,7.0,17.0,1.0,13.0,4.0
23,maxent,0.055401662049861494,0.927365624590536,2.0,8.0,11.0,0.0,0.0,31.0,15.0
909,random,0.018742190753852563,0.9657746044584999,5.0,13.0,14.0,263.0,3.0,124.0,132.0
909,niche,0.022894965277777776,0.9515594448679602,2.0,33.0,19.0,264.0,12.0,241.0,507.0
909,cascade,0.019158683881715953,0.9614940039268476,5.0,26.0,19.0,209.0,9.0,183.0,198.0
909,hierarchy,0.019589837771655953,0.9679066675313386,1.0,8.0,13.0,314.0,2.0,179.0,138.0
909,maxent,0.0192,0.947471834522673,2.0,24.0,76.0,0.0,0.0,1150.0,353.0
946,random,0.03624131944444445,0.9440483629939918,1.0,3.0,6.0,865.0,35.0,481.0,430.0
946,niche,0.042326844726120416,0.9163750538723837,2.0,25.0,10.0,861.0,166.0,716.0,1336.0
946,cascade,0.039605034722222224,0.9413745045282683,4.0,9.0,13.0,829.0,70.0,829.0,838.0
946,hierarchy,0.03689236111111111,0.9526703693748076,1.0,4.0,0.0,942.0,25.0,439.0,513.0
946,maxent,0.03721788194444445,0.9405279678538917,2.0,65.0,31.0,0.0,0.0,1554.0,2226.0
26,random,0.0743801652892562,0.9557664409343479,2.0,3.0,5.0,24.0,0.0,14.0,15.0
26,niche,0.054820415879017016,0.9542523821800312,2.0,8.0,7.0,8.0,2.0,22.0,38.0
26,cascade,0.062381852551984876,0.944954167821645,3.0,7.0,5.0,24.0,6.0,21.0,39.0
26,hierarchy,0.059027777777777776,0.9704925603694161,1.0,2.0,6.0,28.0,0.0,22.0,9.0
26,maxent,0.059027777777777776,0.9602582931385832,2.0,4.0,9.0,16.0,5.0,20.0,9.0
27,random,0.014238165680473373,0.9742342579354482,3.0,18.0,18.0,217.0,2.0,92.0,91.0
27,niche,0.017950138504155125,0.9581511052916801,2.0,35.0,17.0,143.0,3.0,112.0,245.0
27,cascade,0.01460641113616312,0.9680809556310873,5.0,27.0,29.0,143.0,2.0,118.0,115.0
27,hierarchy,0.013313609467455622,0.974040585987621,1.0,16.0,27.0,134.0,1.0,135.0,60.0
27,maxent,0.013349946600213599,0.8997855633229325,2.0,9.0,97.0,0.0,0.0,2807.0,95.0
28,random,0.15123456790123457,0.9262830080355201,1.0,0.0,1.0,24.0,2.0,8.0,13.0
28,niche,0.1245674740484429,0.9035450482029108,3.0,7.0,1.0,10.0,4.0,14.0,21.0
28,cascade,0.12962962962962962,0.9200652423940677,3.0,2.0,6.0,33.0,19.0,55.0,39.0
28,hierarchy,0.10802469135802469,0.9468013765004027,1.0,1.0,2.0,39.0,8.0,35.0,13.0
28,maxent,0.11728395061728394,0.9208801717543877,3.0,4.0,5.0,22.0,5.0,24.0,23.0
947,random,0.1523545706371191,0.9145843451659594,1.0,0.0,1.0,32.0,7.0,22.0,25.0
947,niche,0.12465373961218837,0.9154960533798898,3.0,5.0,0.0,13.0,2.0,7.0,10.0
947,cascade,0.18005540166204986,0.9036506917328071,4.0,3.0,4.0,58.0,50.0,96.0,117.0
947,hierarchy,0.15789473684210525,0.9123899551502108,1.0,3.0,0.0,83.0,12.0,32.0,46.0
947,maxent,0.16066481994459833,0.9047263724488679,3.0,2.0,3.0,41.0,20.0,70.0,67.0
1262,random,0.09615384615384616,0.9391396207481604,2.0,1.0,2.0,59.0,4.0,37.0,37.0
1262,niche,0.104,0.8998108186275146,2.0,8.0,4.0,41.0,27.0,55.0,101.0
1262,cascade,0.07692307692307693,0.9459006250121323,4.0,7.0,4.0,59.0,9.0,44.0,53.0
1262,hierarchy,0.08875739644970414,0.9520448174738775,1.0,1.0,1.0,83.0,3.0,43.0,36.0
1262,maxent,0.08875739644970414,0.9011635948173676,2.0,14.0,7.0,5.0,11.0,116.0,212.0
1261,random,0.1111111111111111,0.9616207087171085,2.0,4.0,0.0,3.0,0.0,2.0,4.0
1261,niche,0.12244897959183673,0.978081278530621,3.0,2.0,3.0,0.0,0.0,3.0,0.0
1261,cascade,0.10650887573964497,0.962738505524208,2.0,2.0,3.0,18.0,2.0,9.0,8.0
1261,hierarchy,0.1111111111111111,0.9434044191459743,1.0,1.0,4.0,15.0,0.0,12.0,5.0
1261,maxent,0.10059171597633136,0.9244137761260005,2.0,7.0,3.0,3.0,1.0,8.0,18.0
1219,random,0.056859504132231405,0.9433938723004158,3.0,2.0,2.0,341.0,17.0,197.0,206.0
1219,niche,0.08024691358024691,0.8917354159274198,2.0,10.0,8.0,372.0,49.0,464.0,707.0
1219,cascade,0.06154336734693878,0.9288041878707257,5.0,9.0,8.0,390.0,57.0,323.0,433.0
1219,hierarchy,0.05612244897959184,0.9467348352969545,1.0,1.0,2.0,430.0,61.0,206.0,204.0
1219,maxent,0.05644132653061224,0.9138049231731392,3.0,32.0,0.0,124.0,58.0,89.0,555.0
1237,random,0.09975308641975308,0.9349994948587317,1.0,0.0,0.0,350.0,38.0,202.0,195.0
1237,niche,0.08006198347107438,0.8998365653313036,2.0,14.0,3.0,157.0,38.0,244.0,359.0
1237,cascade,0.10024691358024691,0.9169362177281242,4.0,5.0,5.0,515.0,102.0,462.0,479.0
1237,hierarchy,0.10320987654320987,0.9265606063711153,1.0,1.0,0.0,683.0,119.0,358.0,390.0
1237,maxent,0.10469135802469136,0.9065316264907286,4.0,20.0,4.0,129.0,208.0,268.0,748.0
1218,random,0.051263794944820223,0.9505389716363266,2.0,4.0,1.0,310.0,21.0,139.0,148.0
1218,niche,0.06651287966166859,0.9079187023889791,2.0,17.0,7.0,319.0,27.0,330.0,561.0
1218,cascade,0.06016375934496262,0.9369191631862248,4.0,7.0,8.0,305.0,43.0,316.0,279.0
1218,hierarchy,0.05197579209683161,0.9450321883627472,1.0,9.0,2.0,320.0,32.0,154.0,190.0
1218,maxent,0.053399786400854396,0.9142752969916988,2.0,40.0,0.0,22.0,13.0,30.0,733.0
1235,random,0.06172839506172839,0.9448656676760565,3.0,6.0,2.0,119.0,6.0,64.0,85.0
1235,niche,0.06635802469135803,0.932768421723285,2.0,10.0,2.0,99.0,21.0,43.0,121.0
1235,cascade,0.06558641975308642,0.933956325944163,3.0,7.0,6.0,109.0,16.0,105.0,113.0
